name,image
Stefan George,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Stefan_George_1910_Foto_Jakob_Hilsdorf.jpg/220px-Stefan_George_1910_Foto_Jakob_Hilsdorf.jpg
Hyeong-do Gi,NaN
Andre Gide,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Andr%C3%A9_Gide.jpg/220px-Andr%C3%A9_Gide.jpg
Sky Gilbert,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Sky_Gilbert.png/220px-Sky_Gilbert.png
John Gilgun,NaN
Allen Ginsberg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Allen_Ginsberg_1979_-_cropped.jpg/220px-Allen_Ginsberg_1979_-_cropped.jpg
M-E Girard,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/M_e_girard_8051627.jpg/220px-M_e_girard_8051627.jpg
John Glassco,NaN
Connie Glynn,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Connie_glynn_2019.png/220px-Connie_glynn_2019.png
Nikolai Gogol,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/NV_Gogol.png/220px-NV_Gogol.png
Andrea Goldsmith,NaN
Agustin Gomez-Arcos,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Agust%C3%ADn_G%C3%B3mez_Arcos_en_Par%C3%ADs.jpg/220px-Agust%C3%ADn_G%C3%B3mez_Arcos_en_Par%C3%ADs.jpg
Rigoberto Gonzalez,https://upload.wikimedia.org/wikipedia/en/thumb/2/20/Rigoberto_Gonz%C3%A1lez.jpeg/220px-Rigoberto_Gonz%C3%A1lez.jpeg
Paul Goodman,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Paul_Goodman.jpg/220px-Paul_Goodman.jpg
Juan Goytisolo,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Juan-goytisolo.jpg/220px-Juan-goytisolo.jpg
Judy Grahn,NaN
Camarin Grae,NaN
R. W. Gray,NaN
Thomas Gray,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/PortraitThomasGrayByJohnGilesEccart1747to1748.jpg/220px-PortraitThomasGrayByJohnGilesEccart1747to1748.jpg
Nick Green,NaN
Harlan Greene,NaN
Garth Greenwell,NaN
Robert Joseph Greene,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Robert_Joseph_Greene_Press_Phto.jpg/220px-Robert_Joseph_Greene_Press_Phto.jpg
Doris Grumbach,NaN
Samra Habib,NaN
Saleem Haddad,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Saleem_Haddad_selfie.jpg/220px-Saleem_Haddad_selfie.jpg
Radclyffe Hall,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Radclyffe_Hall%2C_ca._1930.jpg/220px-Radclyffe_Hall%2C_ca._1930.jpg
Richard Hall,NaN
Jane Eaton Hamilton,NaN
Dena Hankins,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Dena_Hankins.jpeg/240px-Dena_Hankins.jpeg
