,Name,Year Born,Nationality,Genre,Notable Works,OnTour,Link,Summary,id,BookConnections
108,Andreas Steinhofel,1962,German,"novelist, author for children and teenagers",The Center of the World,False,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Andreas_Steinh%C3%B6fel_liest_Anders_auf_der_Frankfurter_Buchmesse_2014.JPG/220px-Andreas_Steinh%C3%B6fel_liest_Anders_auf_der_Frankfurter_Buchmesse_2014.JPG,,108,"366,367,368,369"
109,Howard Sturgis,1855,Anglo-American,novelist,"Tim: A Story of School Life, All That Was Possible",False,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Howard_Sturgis_and_William_Haynes_Smith_on_the_steps_with_two_dogs_at_Queen%27s_Acres%2C_Windsor%2C_before_1920.jpg/220px-Howard_Sturgis_and_William_Haynes_Smith_on_the_steps_with_two_dogs_at_Queen%27s_Acres%2C_Windsor%2C_before_1920.jpg,,109,
110,Christos Tsiolkas,1965,Australian,novelist,The Slap,False,,,110,"370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386"
111,Fernando Vallejo,1942,Colombian,novelist,Our Lady of the Assassins,False,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Fernando_Vallejo.jpg/220px-Fernando_Vallejo.jpg,,111,
112,Carl Van Vechten,1880,American,"novelist, photographer",Nigger Heaven,False,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Self-Portrait_of_Carl_Van_Vechten_Crisco_edit.jpg/220px-Self-Portrait_of_Carl_Van_Vechten_Crisco_edit.jpg,,112,"387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405"
113,John Weir,1959,American,"novelist, journalist","The Irreversible Decline of Eddie Socket, What I Did Wrong",False,,,113,"406,407,408,409,410,411"
114,Joshua Whitehead,None,Canadian,"poet, novelist","Full-Metal Indigiqueer, Johnny Appleseed",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2199234,,114,
115,Angus Wilson,1913,English,author,Hemlock and After,False,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/Anguswilson.jpg/220px-Anguswilson.jpg,,115,
116,Marnie Woodrow,1969,Canadian,novelist,Spelling Mississippi,False,,,116,"412,413,414,415,416,417"
117,Marguerite Yourcenar,1903,French,novelist,Memoirs of Hadrian,False,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Marguerite_Yourcenar-Bailleul-1982.10.04.Bernhard_De_Grendel_%289%29.jpg/180px-Marguerite_Yourcenar-Bailleul-1982.10.04.Bernhard_De_Grendel_%289%29.jpg,,117,"418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434"
118,Eve Zaremba,1930,Polish/Canadian,mystery novelist,"A Reason to Kill, The Butterfly Effect",False,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2244187,,118,"435,436,437,438,439,440,441,442,443,444"
