,name,image,origin,publication_types,founded,parent_comp,hq,website,AuthorConnections,BookConnections,id
275,Inter-Varsity Press,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Inter-Varsity_Press_Logo_from_2018.png/220px-Inter-Varsity_Press_Logo_from_2018.png,United Kingdom,Books,Unknown,Unkown,London,www.ivpbooks.com,,,275
276,InterVarsity Press,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/InterVarsity_Press_%28IVP%29_logo.pdf/page1-220px-InterVarsity_Press_%28IVP%29_logo.pdf.jpg,United States,Books,1947,InterVarsity Christian Fellowship,"Westmont, Illinois",www.ivpress.com,,,276
277,Islamic Texts Society,-1,United Kingdom,Books,1981,Unkown,Cambridge,www.its.org.uk,,,277
278,Island Press,-1,United States,Books,1984,Unkown,"Washington, D.C.",www.islandpress.org,,,278
279,Jaico Publishing House,-1,India,Unknown,1946,Unkown,Mumbai,www.jaicobooks.com,,,279
280,The Jarrold Group,-1,Unknown,Unknown,1770,Unkown,Unknown,Not available,,,280
281,The Jewish Publication Society,https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Jps-logo.jpg/250px-Jps-logo.jpg,United States,Books,1888,Unkown,Philadelphia,jps.org,,,281
282,John Murray,https://upload.wikimedia.org/wikipedia/en/f/fa/John-Murray-logo.png,United Kingdom,Books,1768; 253 years ago (1768),Hachette UK,London,www.johnmurray.co.uk,,,282
283,Jones & Bartlett Learning,-1,United States,Books,[2],[1],"Burlington, Massachusetts",jblearning.com,,,283
284,Karadi Tales,https://upload.wikimedia.org/wikipedia/en/d/dc/KTC_Hi_res_logo_180x79.jpg,Unknown,Unknown,1996,Unkown,Unknown,Not available,,,284
285,Kensington Books,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Kensington-logo.png/220px-Kensington-logo.png,United States,Books,1974,Unkown,New York City,www.kensingtonbooks.com,,,285
286,Kessinger Publishing,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Kessinger_logo.png/220px-Kessinger_logo.png,United States,Unknown,1988,Unkown,"Whitefish, Montana",www.kessinger.net,,,286
287,Kluwer Academic Publishers,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Springer.svg/250px-Springer.svg.png,Germany,Unknown,10 May 1842; 179 years ago (1842-05-10) (as Springer-Verlag),Unkown,Berlin,www.springer.com,,,287
288,Knockabout Comics,-1,United Kingdom,Comics,1975,Unkown,London,www.knockabout.com,,,288
289,Kodansha,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/K%C5%8Ddansha_logo.png/170px-K%C5%8Ddansha_logo.png,Unknown,Unknown,"December 1, 1938; 82 years ago (December 1, 1938)",Unkown,Unknown,Not available,,,289
290,Kogan Page,-1,United Kingdom,Books,1967,Unkown,London,koganpage.com,,,290
291,Koren Publishers Jerusalem,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/This_is_a_logo_for_Koren_Publishers_Jerusalem.jpg/120px-This_is_a_logo_for_Koren_Publishers_Jerusalem.jpg,Unknown,Unknown,1962,Unkown,Jerusalem,https://korenpub.com,,,291
292,Korero Press,-1,United Kingdom,Books,Unknown,Unkown,London,www.koreropress.com,,,292
