name,image,origin,publication_types,founded,parent_comp,hq,website
Holland Publishing,-1,United Kingdom,Books,1980,Unkown,Woodford Green,www.holland-publishing.co.uk
Hutchinson (publisher),-1,United Kingdom,Books,1887; 134 years ago (1887),Penguin Random House,Unknown,www.penguin.co.uk/company/publishers/cornerstone/hutchinson.html
I.B. Tauris,https://upload.wikimedia.org/wikipedia/en/thumb/5/5a/IBTauris_logo.jpg/220px-IBTauris_logo.jpg,United Kingdom,Unknown,1983,Bloomsbury Publishing,London,ibtauris.com
Ian Allan Publishing,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Shepperton%2C_Ian_Allan_Ltd_-_geograph.org.uk_-_1078155.jpg/250px-Shepperton%2C_Ian_Allan_Ltd_-_geograph.org.uk_-_1078155.jpg,United Kingdom,Books,1942,Unkown,Shepperton,www.ianallanpublishing.com
The Idries Shah Foundation,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/The_Idries_Shah_Foundation_Logo.png/100px-The_Idries_Shah_Foundation_Logo.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
Imperial College Press,-1,Unknown,Unknown,London,Unkown,Unknown,Not available
Inter-Varsity Press,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Inter-Varsity_Press_Logo_from_2018.png/220px-Inter-Varsity_Press_Logo_from_2018.png,United Kingdom,Books,Unknown,Unkown,London,www.ivpbooks.com
Islamic Texts Society,-1,United Kingdom,Books,1981,Unkown,Cambridge,www.its.org.uk
Jackson and Walford,-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available
The Jarrold Group,-1,Unknown,Unknown,1770,Unkown,Unknown,Not available
John Murray (publishing house),https://upload.wikimedia.org/wikipedia/en/f/fa/John-Murray-logo.png,United Kingdom,Books,1768; 253 years ago (1768),Hachette UK,London,www.johnmurray.co.uk
Kogan Page,-1,United Kingdom,Books,1967,Unkown,London,koganpage.com
Korero Press,-1,United Kingdom,Books,Unknown,Unkown,London,www.koreropress.com
Kraken Opus,-1,Guernsey,Books,2005,Unkown,United Arab Emirates,https://www.thisisopus.com
Ladybird Books,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Ladybird_Books_%282004%29.gif/220px-Ladybird_Books_%282004%29.gif,United Kingdom,Books,Loughborough,Penguin Random House,London,www.ladybird.co.uk
Lawrence & Wishart,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Lawrence_%26_Wishart_logo.png/220px-Lawrence_%26_Wishart_logo.png,UK,Books,1936; 85 years ago (1936),Unkown,London,www.lwbooks.co.uk
Left Book Club,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Left_Book_Club_logo.png/100px-Left_Book_Club_logo.png,United Kingdom,Books,1936,Unkown,London,Not available
Lion Hudson,https://upload.wikimedia.org/wikipedia/en/9/95/Lion_Hudson_logo.png,England,"Children's Bible Retelling, books, literature, ebooks, audio books",2017,[1],Oxford,www.lionhudson.com
Liverpool University Press,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Liverpool-University-Press.png/220px-Liverpool-University-Press.png,United Kingdom,Books,1899,University of Liverpool,Liverpool,www.liverpooluniversitypress.co.uk
