,Name,OnTour,Summary,Link,Lifetime,Nationality,Genre,Notable works,References
155,Ali Smith,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/224211,1962-,Scottish,novelist,Free Love and Other Stories,[378]
156,Gertrude Stein,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/29635,1874–1946,American,novelist,The Autobiography of Alice B. Toklas,[9]
157,Gertrude Stein,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2127480,1874–1946,American,novelist,The Autobiography of Alice B. Toklas,[9]
158,Gertrude Stein,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2247535,1874–1946,American,novelist,The Autobiography of Alice B. Toklas,[9]
159,Lytton Strachey,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/30071,1880–1932,English,biographer,Queen Victoria (biography),[9]
160,Gore Vidal,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/32041,1925–2012,American,novelist,"The City and the Pillar, Myra Breckinridge",[9]
161,Gore Vidal,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/303909,1925–2012,American,novelist,"The City and the Pillar, Myra Breckinridge",[9]
162,Gore Vidal,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2126561,1925–2012,American,novelist,"The City and the Pillar, Myra Breckinridge",[9]
163,Gore Vidal,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2194020,1925–2012,American,novelist,"The City and the Pillar, Myra Breckinridge",[9]
164,Gore Vidal,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2247494,1925–2012,American,novelist,"The City and the Pillar, Myra Breckinridge",[9]
165,Alice Walker,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/32278,b. 1944,American,fiction,The Color Purple,[9]
166,Alice Walker,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/128970,b. 1944,American,fiction,The Color Purple,[9]
167,Alice Walker,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/147379,b. 1944,American,fiction,The Color Purple,[9]
168,Alice Walker,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2190870,b. 1944,American,fiction,The Color Purple,[9]
169,Edmund White,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/33002,b. 1940,American,fiction,"A Boy's Own Story, The Beautiful Room Is Empty",[39]
170,Edmund White,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/112198,b. 1940,American,fiction,"A Boy's Own Story, The Beautiful Room Is Empty",[39]
171,Edmund White,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2235921,b. 1940,American,fiction,"A Boy's Own Story, The Beautiful Room Is Empty",[39]
172,Edmund White,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2238311,b. 1940,American,fiction,"A Boy's Own Story, The Beautiful Room Is Empty",[39]
173,Patrick White,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/33028,1912–1990,Australian,fiction,Flaws in the Glass,[9]
174,Patrick White,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/111998,1912–1990,Australian,fiction,Flaws in the Glass,[9]
175,Walt Whitman,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/33081,1819–1892,American,poet,Leaves of Grass,[9]
176,Walt Whitman,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/111160,1819–1892,American,poet,Leaves of Grass,[9]
177,Walt Whitman,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/221534,1819–1892,American,poet,Leaves of Grass,[9]
178,Walt Whitman,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/224403,1819–1892,American,poet,Leaves of Grass,[9]
179,Walt Whitman,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2126337,1819–1892,American,poet,Leaves of Grass,[9]
180,Oscar Wilde,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/33170,1854–1900,English-Irish,"fiction, plays","The Picture of Dorian Gray, The Importance of Being Earnest",[9]
181,Oscar Wilde,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2148970,1854–1900,English-Irish,"fiction, plays","The Picture of Dorian Gray, The Importance of Being Earnest",[9]
182,Oscar Wilde,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2153423,1854–1900,English-Irish,"fiction, plays","The Picture of Dorian Gray, The Importance of Being Earnest",[9]
183,Oscar Wilde,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2172851,1854–1900,English-Irish,"fiction, plays","The Picture of Dorian Gray, The Importance of Being Earnest",[9]
184,Oscar Wilde,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2179465,1854–1900,English-Irish,"fiction, plays","The Picture of Dorian Gray, The Importance of Being Earnest",[9]
185,Oscar Wilde,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2241024,1854–1900,English-Irish,"fiction, plays","The Picture of Dorian Gray, The Importance of Being Earnest",[9]
186,Thornton Wilder,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/33173,1897–1975,American,"fiction, plays",Our Town,[428]
187,Thornton Wilder,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2126395,1897–1975,American,"fiction, plays",Our Town,[428]
188,Tennessee Williams,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/33306,1911–1983,American,playwright,"A Streetcar Named Desire, Cat on a Hot Tin Roof",[9]
189,Tennessee Williams,False,,https://api.penguinrandomhouse.com/title/client/Public/domains/PRH.US/authors/2126452,1911–1983,American,playwright,"A Streetcar Named Desire, Cat on a Hot Tin Roof",[9]
